id,sr_no,citation,category_name,details,year,created_at,user_id,updated_at
053e8f60-ad42-4a3f-96c7-b17358ec0e82,13,2026 SCMR 163,Appreciation of Evidence,The blackening on the margins of an entry wound can be caused by a long-range rifle.,2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
ec415921-fd31-4996-be70-ed77f53fbb24,14,2026 YLR 361 Lahore,Appreciation of Evidence,Blood grouping or DNA test was not conducted despite blood stains being available on the recovered crime weapon. Therefore the recovery has no evidentiary value.,2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
45854415-f9af-499b-8d61-4572e913e51c,15,2026 YLR 513 Lahore,Appreciation of Evidence,The plea taken by the accused before the Investigating Officer is admissible in evidence under Article 27 of Qanoon-e-Shahadat.,2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
4266acaa-1571-4132-8ad3-18e0d93632cb,16,2026 YLR 386/485 Lahore,Appreciation of Evidence,The co-accused of the appellant was acquitted on the basis of the same evidence; therefore the appellant was also acquitted.,2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
74d486ef-182d-41d9-b48e-c851e8e4b731,17,2026 YLR 485 Lahore,Appreciation of Evidence,"The brother of the deceased is an interested witness while the other witnesses are chance witnesses because they are not residents of the same locality. The IO also declared some nominated accused innocent but the complainant did not challenge the investigation, which creates doubt. Accused acquitted.",2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
95f7a869-7c7c-4261-8ac6-ad4045385c5c,18,2026 PLD 84 Lahore,Miscellaneous,"The High Court holds that if an accused is acquitted from the case, the police department should issue him a clear character certificate.",2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
e91be0d8-3744-475e-b8df-41aed12a7013,21,2026 SCMR 77,Miscellaneous,After acquittal the accused wants to initiate proceedings under section 182 CrPC against the complainant. The accused was acquitted due to deficient evidence and the court did not hold that the complainant's case is false. Proceedings under section 182 CrPC can only be initiated by the government office to whom the false information was served.,2026,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
0ff71eb7-183c-4d30-a039-8cbf45dfdf32,23,PLD 2016 SC 55,Miscellaneous,"The orders passed either under Section 203, Cr.PC whereby the direct complaint is dismissed or under Section 204, Cr.PC
whereby the Court has taken cognizance of an offence complained of
and has issued warrants or summons for causing the accused to be
brought or produced before the Court are judicial orders. 

 *PLD 2016 SC 55*",2016,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
291e47cd-e109-467e-a115-15a5b8ac69f0,24,2000 SCMR 785,Miscellaneous,"Stage of ""trial""---Scope---Taking of cognizance is not commencement of trial---Trial of a case commences with framing of charge against the accused.
A statement under Section 164 CrPC may be recorded at any stage prior to the framing of charge, irrespective of whether the accused has been summoned or not prior to such stage.
2000 SCMR 785
PLD 2024 SC 1152
2025 PCrLJ 1919",2000,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
f7af3cba-7e54-4dd6-b0dc-9c7240bb7159,25,2023 LHC 7704,Miscellaneous,Sampling for DNA of under custody accused,2023,2026-05-05T16:51:41.522989+00:00,1754022b-98ab-414f-ac35-d9bbf5dd6910,2026-05-09T10:44:26.068981+00:00
